0.13139297,0.078,0.05339297,,,,,,,,,for naïve score,,,,
0.04349671,0.07,0.02650329,,,,,,,,,0.078,0.04349671,0.03450329,,104.8373954
0.081528718,0.078,0.003528718,,0.202644315,,,,,,,0.07,0.081528718,0.011528718,,
0.076957537,0.198,0.121042463,,0.635863497,,,,,,,0.078,0.076957537,0.001042463,,
0.268005436,0.551,0.282994564,,,,,,,,,0.198,0.268005436,0.070005436,,
0.714811599,1.02,0.305188401,,,,,,,,,0.551,0.714811599,0.163811599,,
1.200290734,1.227,0.026709266,,,,,,,,,1.02,1.200290734,0.180290734,,
1.254892642,1.226,0.028892642,,,,,,,,,1.227,1.254892642,0.027892642,,
1.215529948,1.361,0.145470052,,177.7190646,,,,,,,1.226,1.215529948,0.010470052,,
1.434544189,1.753,0.318455811,,,,,,,,,1.361,1.434544189,0.073544189,,
1.930210032,2.373,0.442789968,,,,,,,,,1.753,1.930210032,0.177210032,,
2.644340542,2.75,0.105659458,,,,,,,,,2.373,2.644340542,0.271340542,,
2.833559807,2.292,0.541559807,,,,,,,,,2.75,2.833559807,0.083559807,,
1.993061933,2.021,0.027938067,,,naïve score:,,72.88166925,,,,2.292,1.993061933,0.298938067,,
2.024901599,2.089,0.064098401,,,,,,,,,2.021,2.024901599,0.003901599,,
2.095842277,1.984,0.111842277,,,naïve ratio: ,,0.589905172,,,,2.089,2.095842277,0.006842277,,
1.930752511,1.92,0.010752511,,,,,,,,,1.984,1.930752511,0.053247489,,
1.945580878,2.023,0.077419122,,,,,,,,,1.92,1.945580878,0.025580878,,
2.055368072,2.408,0.352631928,,,,,,,,,2.023,2.055368072,0.032368072,,
2.601295838,2.589,0.012295838,,,,,,,,,2.408,2.601295838,0.193295838,,
2.595771461,2.445,0.150771461,,,,,,,,,2.589,2.595771461,0.006771461,,
2.369202293,2.449,0.079797707,,,,,,,,,2.445,2.369202293,0.075797707,,
2.486506652,2.268,0.218506652,,,,,,,,,2.449,2.486506652,0.037506652,,
2.127017944,2.278,0.150982056,,,,,,,,,2.268,2.127017944,0.140982056,,
