predicted_values,true_values
0.6585286332812487,0.7020000000000001
0.7306048392602498,0.785
0.84163826746909,0.8959999999999999
0.9717937672174672,1.0070000000000001
1.0828134418617696,1.083
1.1349047027002817,1.166
1.2227029267385925,1.28
1.3579108739780237,1.3980000000000001
1.478666054298096,1.485
1.5444913197232388,1.515
1.535535504797625,1.5
1.4897757670823006,1.465
1.4411003143663463,1.419
1.387574453644522,1.392
1.3735567141162275,1.4609999999999999
1.5081825804113174,1.598
1.6916852933287643,1.739
1.8354458941610934,1.834
1.899017432050356,1.906
1.9553073095441353,1.9480000000000002
1.9768072109764758,2.013
2.0575394204191446,2.112
2.179797442693325,2.22
2.2939684867031818,2.37
2.4727086727140657,2.58
2.723775640766652,2.795
2.9422432018600384,2.929
3.0208757622406095,3.0469999999999997
3.1279557291996944,3.138
3.200508068727086,3.133
3.12986335557805,3.074
3.033930820469372,3.042
3.020387388119522,3.037
3.033848040558003,3.074
3.099571464401925,3.161
3.220773633798248,3.3169999999999997
3.423983946810978,3.532
3.6793792656087163,3.7310000000000003
3.8674783409520694,3.807
3.8593605392580717,3.78
3.7619168061789425,3.7430000000000003
3.718072234265473,3.759
3.770318931691893,3.781
3.796425271089656,3.825
3.8554767562751824,3.949
4.034206507673641,4.064
4.143071227149558,3.988
3.936442485255838,3.859
3.7711768815521354,3.833
3.8156087853238576,3.855
3.8704341026803792,3.867
3.8755978468564525,3.8680000000000003
3.869076118812454,3.847
3.8330292961421937,3.595
3.423028331730817,3.429
3.315812016199874,3.295
3.203670855306341,3.263
3.2414172593726955,3.307
3.337391188089501,3.5010000000000003
3.6339938274591543,4.083
4.481645405659969,4.821000000000001
5.327201453573425,5.347
5.708059098915558,5.617999999999999
5.804298486337168,5.555
5.512510228481828,5.377999999999999
5.257419102016995,5.294
5.237090105268615,5.287000000000001
5.282811962298633,5.167000000000001
5.085422364496933,4.941
4.786790287795201,4.842
4.7747485735997035,4.772
4.724594532186122,4.694
4.641103776489962,4.502
4.371004262911472,4.119
3.857061069204011,3.7060000000000004
3.4233317471508498,3.286
2.998355656057563,2.8560000000000003
2.5613105970339234,2.512
2.27620771210928,2.184
1.9590834925230478,1.9869999999999999
1.8519440112084649,1.93
1.89099010932663,1.9180000000000001
1.9098583980968842,1.876
1.8472721312688472,1.8219999999999998
1.785031728317083,1.749
1.698986007539235,1.722
1.7035386055610342,1.695
1.6765344975090943,1.595
1.5264401366740457,1.499
1.4331684821457988,1.3459999999999999
1.2410358229700371,1.143
1.0036874328217993,1.014
0.9254436691621966,0.987
0.9684258261692471,0.945
